run,n,block,dim,n_cols,energy_share,F_plain,F_twist,F_both,med_alpha_plain,med_alpha_twist,plain_side,twist_side,verdict,support_orbit_dist,energy_by_block,frac_block_dominant,comp_energy,C_plain,C_plainchar,C_twist,wmean_alpha_plain,wmean_alpha_plainchar,wmean_alpha_twist,verdict_component
aff11_wu100k_m128_seed1,11.0,11,10.0,240.0,0.8776872967830462,0.9993480264866066,0.0,0.0,0.9999958465989846,0.2992071578567675,l:0.50 r:0.50,l:0.50 r:0.50,plain,10:1.00,d0:0.12 d11:0.88,0.9131161307266343,44687.00331130618,0.9992715930468682,0.0,0.0,0.9994157564439894,0.3580291318059051,0.2995171552210498,plain
aff15_chughtai_m128_seed1,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.65 d3:0.35,0.8231572094277939,0.4224515682703187,0.035023425470737723,0.035023425470737723,0.0,0.34597099388187025,0.4649321397618913,0.33030053593362607,neither
aff15_chughtai_m128_seed1,15.0,5,4.0,0.0,0.0,,,,,,,,empty,,,,0.060148526354792696,0.0,0.0,0.0004837689254296394,0.43593442198966437,0.46211155500178835,0.6859663199043297,neither
aff15_chughtai_m128_seed1,,5β,,,,,,,,,,,,,,,119864.60067491324,0.0,1.0,0.5404060237759859,5.621873304632946e-33,0.9999694188383312,0.7829362096210641,both
aff15_wu_m128_seed3,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.16 d3:0.34 d5:0.51,0.9705799454841126,0.18995311937471293,0.0,0.0,0.0,0.2662189487337292,0.2918340721824599,0.3643386450767713,neither
aff15_wu_m128_seed3,15.0,5,4.0,109.0,0.5071318395413804,0.9999995719824336,1.791311239728081e-09,0.0,0.9999905913326983,0.5951771431893832,l:0.50 r:0.50,l:0.50 r:0.50,plain,4:1.00,,,25245.615779939206,1.0,0.0,0.0,0.999996768318085,0.7870755779575435,0.5952208647951924,plain
aff15_wu_m128_seed3,,5β,,,,,,,,,,,,,,,0.05231907464804408,0.0,0.0,0.0,1.0735191020700509e-26,0.5633172307429924,0.6497099991113211,neither
aff15_wu_m128_seed4,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.14 d3:0.34 d5:0.53,0.9500117666770431,0.17205907445355387,0.0,0.0,0.0,0.23795257892223534,0.27661558569386907,0.3706378528242975,neither
aff15_wu_m128_seed4,15.0,5,4.0,117.0,0.5263068202563689,0.9999995832206574,2.6689042951971537e-08,0.0,0.9999953943545123,0.8120993119101532,l:0.50 r:0.50,l:0.50 r:0.50,plain,2:0.00 4:1.00,,,26166.912650391732,1.0,0.0,0.0,0.9999983533798584,0.6908018674275282,0.8121265398182503,plain
aff15_wu_m128_seed4,,5β,,,,,,,,,,,,,,,0.0385425262922892,0.0,0.0,0.027757104048947833,1.494079348223642e-26,0.4655678957361849,0.6878331123547717,neither
aff15_wu_m128_seed5,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.74 d3:0.26,0.9439143754949554,0.19007701447903197,0.0,0.0,0.0,0.2716457390032886,0.2955645768644852,0.38413312557391205,neither
aff15_wu_m128_seed5,15.0,5,4.0,0.0,0.0,,,,,,,,empty,,,,0.042286880401218765,0.0,0.0,0.06330304378129699,0.5023384069474534,0.49670536171012347,0.6927431432367859,neither
aff15_wu_m128_seed5,,5β,,,,,,,,,,,,,,,31356.617868487425,0.0,1.0,0.0,5.0233220292840596e-33,0.9999971501428943,0.5152095780102938,plain
aff15_wu_m512_seed1,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.14 d3:0.33 d5:0.53,0.8968232461533607,0.08907381076999965,0.0,0.0,0.0,0.2643488326324934,0.2898454756521639,0.36239358999383436,neither
aff15_wu_m512_seed1,15.0,5,4.0,213.0,0.5269628187397056,0.9999951076886755,1.1418517213483384e-06,0.0,0.9999949648902252,0.587418645071699,l:0.50 r:0.50,l:0.50 r:0.50,plain,2:0.00 4:1.00,,,23166.2344624665,1.0,0.0,0.0,0.9999978528610377,0.8045046129148415,0.5874357909720854,plain
aff15_wu_m512_seed1,,5β,,,,,,,,,,,,,,,0.02280407371926295,0.0,0.0,0.0,2.2169096581590807e-26,0.564806962997022,0.6637786172083775,neither
aff16_wu_m128_seed2,16.0,16,8.0,170.0,0.38530868729265827,0.0,0.0,0.0,0.31998124783375387,0.513587513314173,l:0.50 r:0.50,l:0.50 r:0.50,neither,4:0.49 8:0.51,d0:0.26 d2:0.05 d4:0.17 d8:0.14 d16:0.39,0.8635257223439816,18150.405681406908,0.0,0.0,0.0,0.3209503070370533,0.3894492427587871,0.5138850542983752,neither
aff16_wu_m128_seed2,16.0,8,4.0,22.0,0.139248213247418,0.0,0.0,0.0,0.5471708003277111,0.8505609285845669,l:0.50 r:0.50,l:0.50 r:0.50,neither,4:1.00,,,6550.698567680276,0.0,0.9994372601612529,0.0,0.5475382579666886,0.9962920086521473,0.8529366519545706,plain
aff16_wu_m128_seed2,,8β,,,,,,,,,,,,,,,6.197834888910018,0.0,0.0,0.02706507263951416,3.620442644110189e-27,0.3537749520227896,0.725877705035574,neither
aff16_wu_m128_seed3,16.0,16,8.0,188.0,0.5345600929864754,0.7399306417974308,0.0,0.0,0.9999819903585184,0.6453028819638555,l:0.51 r:0.49,l:0.49 r:0.51,plain,4:0.50 8:0.50,d0:0.38 d4:0.09 d16:0.53,0.919758392654377,26995.77564810151,0.7400349648492753,0.9739597409996805,0.0,0.8692769049102022,0.9862767211017179,0.6452983218320921,plain
aff16_wu_m128_seed3,16.0,8,4.0,0.0,0.0,,,,,,,,empty,,,,0.3299470988227329,0.0,0.0,0.009382081359014931,0.4317508489488191,0.46944080104190183,0.566109085484118,neither
aff16_wu_m128_seed3,,8β,,,,,,,,,,,,,,,3623.6775007524684,0.0,0.0,0.0,8.37726709252493e-32,0.4999216157814391,0.8532953920036479,neither
aff16_wu_m128_seed4,16.0,16,8.0,170.0,0.36538799459749444,0.0,0.0,0.0,0.5125273987034358,0.5180274014520803,l:0.50 r:0.50,l:0.50 r:0.50,neither,8:1.00,d0:0.57 d2:0.05 d4:0.02 d16:0.37,0.839072198793162,15907.923235936769,0.0,0.0,0.0,0.5003138228503516,0.5011069883279766,0.5308465309096875,neither
aff16_wu_m128_seed4,16.0,8,4.0,0.0,0.0,,,,,,,,empty,,,,0.4478560747627277,0.0,0.0,0.0029073338140477327,0.3869406929771011,0.40749500666751826,0.5900443419582537,neither
aff16_wu_m128_seed4,,8β,,,,,,,,,,,,,,,6706.137706147996,0.0,0.0,1.019432817211228e-05,4.79308830902316e-33,0.4944190236124384,0.8274439383273875,neither
aff16_wu_m128_seed5,16.0,16,8.0,180.0,0.4183076945409829,1.0,0.0,0.0,0.9908273756890682,0.5908805643264192,l:0.50 r:0.50,l:0.50 r:0.50,plain,8:1.00,d0:0.52 d2:0.07 d16:0.42,0.8756764782204385,18305.30076789049,0.9994312582569346,0.9994312582569346,0.0,0.9903820148444517,0.9903827849936407,0.6250405531738441,plain
aff16_wu_m128_seed5,16.0,8,4.0,0.0,0.0,,,,,,,,empty,,,,2.601339416208088,0.0,0.0,0.00042044922138635823,0.3359025813833113,0.33747284572324837,0.5114344394629738,neither
aff16_wu_m128_seed5,,8β,,,,,,,,,,,,,,,6095.358108397775,0.0,0.0,0.0,3.7088511252895335e-33,0.49987942483540226,0.8530461833164413,neither
