run,n,side,neuron,energy,live,dom_irrep,dom_dim,dom_block,e_dom,block_dominant,alpha_plain,plain_label,alpha_twist,twist_label,aligned_plain,aligned_twist,test_acc
randinit_aff11_seed1,11,x,0,0.2148119858629077,True,10,10,11,(0.9575314649415275+0j),True,0.16430182230466728,M8l,0.2840364628476905,k2l,False,False,
randinit_aff11_seed1,11,x,1,0.19985559554087787,True,10,10,11,(0.903175470406404+0j),True,0.2079945171949646,M4l,0.251018232607491,k4l,False,False,
randinit_aff11_seed1,11,x,2,0.18287048545967746,True,10,10,11,(0.9385644606572947+0j),True,0.2152986530576336,M1r,0.27285992783810875,k2r,False,False,
randinit_aff11_seed1,11,x,3,0.18330142008079078,True,10,10,11,(0.9419976375439157+0j),True,0.2180875424828977,M1r,0.35651559795954063,k3l,False,False,
randinit_aff11_seed1,11,x,4,0.2234314969131887,True,10,10,11,(0.9088481239931533+0j),True,0.16648652040039086,M8r,0.26062688761112474,k5r,False,False,
randinit_aff11_seed1,11,x,5,0.20698429575040198,True,10,10,11,(0.9682258178867109+0j),True,0.2044233838853267,M8l,0.27079510652385086,k1l,False,False,
randinit_aff11_seed1,11,x,6,0.19115694311036097,True,10,10,11,(0.933697494622598+0j),True,0.21444038985796812,M1l,0.29616152153226294,k2r,False,False,
randinit_aff11_seed1,11,x,7,0.2700950184581705,True,10,10,11,(0.9195755664222559+0j),True,0.18943320600027297,M6r,0.21780976691149306,k3r,False,False,
randinit_aff11_seed1,11,x,8,0.21817513577466227,True,10,10,11,(0.8165061708677082+0j),False,0.1363817248181319,M3r,0.2604356125610769,k2l,False,False,
randinit_aff11_seed1,11,x,9,0.18174975547008865,True,10,10,11,(0.9537860409606226+0j),True,0.17386300967886884,M1l,0.25323739901206427,k4l,False,False,
randinit_aff11_seed1,11,x,10,0.19691573495018747,True,10,10,11,(0.8610831732150519+0j),False,0.1920215102476801,M1l,0.22263899015327704,k3l,False,False,
randinit_aff11_seed1,11,x,11,0.19386481162261812,True,10,10,11,(0.960812392195754+0j),True,0.1994477383611014,M8r,0.2902249191200198,k3l,False,False,
randinit_aff11_seed1,11,x,12,0.21823367325799864,True,10,10,11,(0.9257362469367696+0j),True,0.19258668134565723,M4r,0.2729125326882448,k3l,False,False,
randinit_aff11_seed1,11,x,13,0.20698149863077703,True,10,10,11,(0.9076317097125015+0j),True,0.16784542550592688,M10r,0.2833186051868401,k2l,False,False,
randinit_aff11_seed1,11,x,14,0.25611641892394127,True,10,10,11,(0.8873525059456101+0j),False,0.1757850826940671,M4r,0.24553602651313314,k5l,False,False,
randinit_aff11_seed1,11,x,15,0.21100787021919024,True,10,10,11,(0.9853415273552725+0j),True,0.17346634271355815,M7r,0.2451410878558582,k4l,False,False,
randinit_aff11_seed1,11,x,16,0.19597462761481524,True,10,10,11,(0.8915640741121854+0j),False,0.16274488576864035,M1r,0.24272772453997435,k3r,False,False,
randinit_aff11_seed1,11,x,17,0.2486632042732398,True,10,10,11,(0.9135184764546794+0j),True,0.165287484185047,M9r,0.22216247901693115,k1r,False,False,
randinit_aff11_seed1,11,x,18,0.32288765198077585,True,10,10,11,(0.9549618822275739+0j),True,0.23105546913195457,M4r,0.2605432807424156,k4l,False,False,
randinit_aff11_seed1,11,x,19,0.2901850173765528,True,10,10,11,(0.933151373431919+0j),True,0.16270613621886035,M2l,0.2670660533805812,k2l,False,False,
randinit_aff11_seed1,11,x,20,0.24365264968169253,True,10,10,11,(0.9420506780757473+0j),True,0.21774234457025135,M0r,0.3351506582248792,k5l,False,False,
randinit_aff11_seed1,11,x,21,0.251003149156082,True,10,10,11,(0.8950735113791163+0j),False,0.17557994514581568,M4l,0.2789194002336629,k1l,False,False,
randinit_aff11_seed1,11,x,22,0.2239802457117552,True,10,10,11,(0.9716686943090841+0j),True,0.19107453346975967,M2l,0.2489775907587038,k2l,False,False,
randinit_aff11_seed1,11,x,23,0.222035322867693,True,10,10,11,(0.9403673344115704+0j),True,0.216312723239115,M6l,0.28078587953592304,k3l,False,False,
randinit_aff11_seed1,11,x,24,0.18485393137004422,True,10,10,11,(0.9495978529633111+0j),True,0.24506722095516664,M6l,0.2708790929396917,k4r,False,False,
randinit_aff11_seed1,11,x,25,0.31596106273412294,True,10,10,11,(0.9585043927767123+0j),True,0.1844805163006028,M6l,0.2707527748606271,k2l,False,False,
randinit_aff11_seed1,11,x,26,0.22480890948390994,True,10,10,11,(0.927147753120341+0j),True,0.20055196372091458,M1r,0.2499874644681375,k2r,False,False,
randinit_aff11_seed1,11,x,27,0.22943023776546098,True,10,10,11,(0.9292542976930656+0j),True,0.15266483628813501,M6r,0.3272987351019195,k3l,False,False,
randinit_aff11_seed1,11,x,28,0.1839675848338018,True,10,10,11,(0.8520539565104372+0j),False,0.20697609806629183,M3r,0.2573945118833439,k2r,False,False,
randinit_aff11_seed1,11,x,29,0.26550277502398845,True,10,10,11,(0.9275024560216696+0j),True,0.14578504411804166,M3r,0.2910131591443305,k3l,False,False,
randinit_aff11_seed1,11,x,30,0.21751541784151546,True,10,10,11,(0.9224885415357917+0j),True,0.1854883485511211,M4r,0.29867712400754975,k5r,False,False,
randinit_aff11_seed1,11,x,31,0.2360016953270519,True,10,10,11,(0.8957501959319808+0j),False,0.16601285855135822,M7r,0.3185800869800604,k3l,False,False,
randinit_aff11_seed1,11,x,32,0.19585489778616164,True,10,10,11,(0.9657960793519446+0j),True,0.16958951081145435,M5r,0.2916647764832077,k4r,False,False,
randinit_aff11_seed1,11,x,33,0.1978486051870036,True,10,10,11,(0.9101655050776131+0j),True,0.17195998962775602,M0l,0.2212621595188066,k1l,False,False,
randinit_aff11_seed1,11,x,34,0.293162618002537,True,10,10,11,(0.8788973680951733+0j),False,0.1569910443907495,M8l,0.248275847644363,k4l,False,False,
randinit_aff11_seed1,11,x,35,0.2379982329905265,True,10,10,11,(0.890526463184891+0j),False,0.2233847906190627,M6r,0.25942058404203383,k5l,False,False,
randinit_aff11_seed1,11,x,36,0.352428265913169,True,10,10,11,(0.8742079001554184+0j),False,0.17850595973580236,M5r,0.24279095261806746,k3l,False,False,
