run,block,n_cols,frac_rank1,wmean_r1,rank_dist,stabilizer_types_u_v
aff13_wu100k_m256_seed1,13,455,1.0,0.9999973492580567,1:1.00,M/1:0.50 1/M:0.50 1/1:0.00
aff13_wu100k_m256_seed2,13,425,0.9999999999999999,0.9999984513963247,1:1.00,1/M:0.50 M/1:0.50 1/1:0.00
