run,test_acc,n_live,frac_energy_single_freq,frac_energy_1d,n_freqs,r1_ge_0_999,r1_ge_0_99,r1_wmedian,alpha_refl_wmedian
D59_MLP_seed1,1.0,256,1.0,0.0,8,0.9999999999999998,0.9999999999999998,0.9999959474676714,0.9984136216902851
D59_MLP_seed2,1.0,250,0.9535487490719101,0.04645125092809002,5,1.0,1.0,0.9999972229819151,0.9994402029695618
D59_MLP_seed3,1.0,246,0.9402220271564659,0.059777972843534095,6,1.0,1.0,0.999998371117379,0.9988201132176017
D59_MLP_seed4,1.0,224,0.9619130958329927,0.03808690416700725,5,1.0,1.0,0.9999975664903427,0.9992183154512982
D61_MLP_seed1,1.0,256,0.9136704030632614,0.033921486490990714,6,0.9999999999999999,0.9999999999999999,0.9999979701315536,0.9978758443425388
D61_MLP_seed2,1.0,256,0.9250229971779496,0.05763052763359741,10,1.0,1.0,0.9999974346917191,0.9979587328174152
D61_MLP_seed3,1.0,250,0.9368132889511827,0.050857332089794975,6,1.0000000000000002,1.0000000000000002,0.9999990796069159,0.9990713943666814
D61_MLP_seed4,1.0,256,0.9305512233372384,0.031291061238666776,7,1.0,1.0,0.9999956101267886,0.9985258044994015
