run,n,side,neuron,energy,dom_dim,dom_k,e_dom,single,alpha_refl,r1
D59_MLP_seed1,59,x,0,385.5429313565574,2,8,0.9941487277169632,True,0.9979539730364259,0.9999999632723444
D59_MLP_seed1,59,x,1,737.485938806284,2,6,0.9958698243791096,True,0.9988347961679288,0.9999952446941438
D59_MLP_seed1,59,x,2,331.3465785798357,2,14,0.9726901425463885,True,0.9980965064482653,0.9999852568880706
D59_MLP_seed1,59,x,3,199.63150173481773,2,14,0.9648377668468703,True,0.9976501208449198,0.9999934327594043
D59_MLP_seed1,59,x,4,615.5809236077699,2,14,0.9640461048328942,True,0.9975981761317558,0.999990892653894
D59_MLP_seed1,59,x,5,726.2927265721481,2,19,0.9942020947324924,True,0.998308796028993,0.9999979568114677
D59_MLP_seed1,59,x,6,513.6922950972029,2,8,0.9916650729647265,True,0.9984146714294457,0.9999998031128482
D59_MLP_seed1,59,x,7,436.6631489504418,2,20,0.9858830062091721,True,0.9979056353763747,0.9999843395099962
D59_MLP_seed1,59,x,8,357.2327739454584,2,3,0.9892406781976223,True,0.9968015613797578,0.999999034319173
D59_MLP_seed1,59,x,9,673.080053396064,2,19,0.9904577377464614,True,0.9947858286659383,0.9999835074537343
D59_MLP_seed1,59,x,10,649.1887201104779,2,19,0.9931834458714665,True,0.9963143061638052,0.9999857532056214
D59_MLP_seed1,59,x,11,489.35786686579945,2,6,0.9945131321128915,True,0.9978507587342587,0.999996558221939
D59_MLP_seed1,59,x,12,409.6041990957479,2,19,0.991797381167602,True,0.9958522881810764,0.9999710376447309
D59_MLP_seed1,59,x,13,418.76696982219534,2,20,0.9858971814740651,True,0.9979105674508825,0.9999852993216254
D59_MLP_seed1,59,x,14,605.5962089548042,2,3,0.9939618258407591,True,0.998704132601136,0.999999370678027
D59_MLP_seed1,59,x,15,367.1241986091582,2,8,0.9935784589156038,True,0.998809733253795,0.9999928086995741
D59_MLP_seed1,59,x,16,698.5966668275325,2,3,0.9930775898738953,True,0.9985697772052025,0.9999968629808503
D59_MLP_seed1,59,x,17,617.0611466830384,2,8,0.9927603309992321,True,0.9992271810018456,0.9999994102012937
D59_MLP_seed1,59,x,18,392.29500838884195,2,14,0.9643773230280361,True,0.9976818536854037,0.9999919312514403
D59_MLP_seed1,59,x,19,536.2163228650847,2,8,0.9921239773247527,True,0.9979853781860397,0.9999984634682804
D59_MLP_seed1,59,x,20,429.0245819435725,2,19,0.9941143846480887,True,0.9963932349339527,0.9999754430725953
D59_MLP_seed1,59,x,21,418.3876297569054,2,6,0.9943847631505068,True,0.9984444276726238,0.9999943323465865
D59_MLP_seed1,59,x,22,356.885605079407,2,19,0.9936327368283118,True,0.9978083655076343,0.9999793208352582
D59_MLP_seed1,59,x,23,611.8091560021115,2,3,0.9942070878593772,True,0.9989134838257367,0.9999970733457676
D59_MLP_seed1,59,x,24,454.33619831263377,2,8,0.9916273865585908,True,0.9980210397598472,0.9999962623269323
D59_MLP_seed1,59,x,25,420.8087763678975,2,20,0.9858009661925257,True,0.9977523630694253,0.9999841987952119
D59_MLP_seed1,59,x,26,621.6772784784642,2,8,0.9922093366395193,True,0.9985009958833582,0.9999999274592691
D59_MLP_seed1,59,x,27,158.94015706201353,2,7,0.9046421947489501,True,0.9961398334237217,0.9999956162528861
D59_MLP_seed1,59,x,28,355.7895937052263,2,19,0.9931285222445354,True,0.9968158110244217,0.9999742302602225
D59_MLP_seed1,59,x,29,511.87090896185657,2,8,0.9942548519621967,True,0.9988600866389675,0.9999998831494827
D59_MLP_seed1,59,x,30,481.2056232475401,2,19,0.99253491726598,True,0.997083236585588,0.9999842080470462
D59_MLP_seed1,59,x,31,506.78534950016785,2,19,0.992180677697694,True,0.9967979672028217,0.9999981054572576
D59_MLP_seed1,59,x,32,510.169249897289,2,15,0.9871715863851022,True,0.9930293282458889,0.9999999966837176
D59_MLP_seed1,59,x,33,158.91282024851037,2,7,0.9046418652440015,True,0.996140312330387,0.999995614064867
D59_MLP_seed1,59,x,34,936.9256066705299,2,15,0.9907126414493578,True,0.9974752556276931,0.9999999861784816
D59_MLP_seed1,59,x,35,606.7842571700025,2,15,0.9886198082832758,True,0.9989437116068105,0.9999999907621777
D59_MLP_seed1,59,x,36,416.5005358346005,2,14,0.9775321925221483,True,0.9985407437924998,0.999988070337562
