run,side,neuron,family,energy,alpha,purity,top,c_std,c_sgn,c_stdp,c_5a,c_5b
S5_MLP_seed1,x,0,S4,1287.3219499836405,0.999995527977404,1.0,std,1.0,,,,
S5_MLP_seed1,x,1,A4,581.8082358996548,0.9998501759872268,0.991909554134068,std',3.5078474156993086e-05,0.008055367391774641,0.991909554134068,,
S5_MLP_seed1,x,2,F20,824.232042803203,0.9999999339849124,1.0,5a,,,,1.0,
S5_MLP_seed1,x,3,A4,527.0935861506863,0.9995450054793316,0.9850028410285996,std',0.0010037187397046018,0.01399344023169578,0.9850028410285996,,
S5_MLP_seed1,x,4,S4,1233.6868101923938,0.9999913873963956,0.9999999999999998,std,0.9999999999999998,,,,
S5_MLP_seed1,x,5,A4,425.47085422393366,0.9997767636075044,0.979533940466114,std',0.00011683791051778131,0.020349221623368108,0.979533940466114,,
S5_MLP_seed1,x,6,A4,363.5882694789996,0.9998266841524602,0.9948342791715516,std',1.6154103157478492e-05,0.0051495667252909804,0.9948342791715516,,
S5_MLP_seed1,x,7,A4,438.13944482977274,0.9998050787309708,0.9856550447344012,std',3.4012105962871905e-05,0.01431094315963581,0.9856550447344012,,
S5_MLP_seed1,x,8,A4,1399.2831873968728,0.9997973901833116,0.9999198411588158,sgn,2.6840214968215883e-05,0.9999198411588158,5.331862621566825e-05,,
S5_MLP_seed1,x,9,F20,780.9243740877001,0.9999999098507064,0.9999999999999997,5a,,,,0.9999999999999997,
S5_MLP_seed1,x,10,F20,457.5991045625637,0.99999991777094,0.9999999999999999,5a,,,,0.9999999999999999,
S5_MLP_seed1,x,11,A4,332.0868088287301,0.9889196183399404,0.9825198081876855,std',0.003751086579855976,0.013729105232458379,0.9825198081876855,,
S5_MLP_seed1,x,12,S4,1129.5464418335391,0.9999997012983096,0.9999999999999998,std,0.9999999999999998,,,,
S5_MLP_seed1,x,13,F20,754.950366533793,0.9999996126550368,0.9999999999999997,5a,,,,0.9999999999999997,
S5_MLP_seed1,x,14,F20,845.2420172703751,0.9999999330841768,1.0,5a,,,,1.0,
S5_MLP_seed1,x,15,A4,700.2795264173875,0.9995554636010092,0.9907035155234759,std',3.956498966720489e-05,0.009256919486856509,0.9907035155234759,,
S5_MLP_seed1,x,16,A4,537.3533530825041,0.9997621828966436,0.9996278476345494,std',4.30346785713827e-05,0.0003291176868795457,0.9996278476345494,,
S5_MLP_seed1,x,17,S4,1116.1847514726287,0.9999998872671712,1.0000000000000002,std,1.0000000000000002,,,,
S5_MLP_seed1,x,18,A4,552.1100333387727,0.9997794594206992,0.9935799591848525,std',3.3851831268718504e-05,0.006386188983878893,0.9935799591848525,,
S5_MLP_seed1,x,19,S4,1387.6990886926592,0.9999997741247304,1.0,std,1.0,,,,
S5_MLP_seed1,x,21,F20,774.1925750445924,0.9999997364565104,1.0,5a,,,,1.0,
S5_MLP_seed1,x,22,F20,843.502926954671,0.9999998479143288,0.9999999999999999,5a,,,,0.9999999999999999,
